酒田市役所,市区町村役所,山形県,入札可能案件35,案件登録数3823,入札結果数1396,https://www.njss.info/organizations/proc/4714/
砺波市役所,市区町村役所,富山県,入札可能案件11,案件登録数647,入札結果数603,https://www.njss.info/organizations/proc/5692/
川西市役所,市区町村役所,兵庫県,入札可能案件8,案件登録数2113,入札結果数1974,https://www.njss.info/organizations/proc/4734/
川崎市上下水道局,市役所関連団体,神奈川県,入札可能案件21,案件登録数8141,入札結果数7646,https://www.njss.info/organizations/proc/4310/
岐阜県総合医療センター,医療・福祉,県庁関連団体,入札可能案件1,案件登録数12,入札結果数2,https://www.njss.info/organizations/proc/5642/
ポリテクセンター栃木(独立行政法人高齢・障害・求職者雇用支援機構栃木支部 栃木職業能力開発促進センター),その他厚生労働省,独立行政法人,入札可能案件13,案件登録数487,入札結果数81,https://www.njss.info/organizations/proc/5652/
金沢刑務所,矯正局,石川県,入札可能案件0,案件登録数0,入札結果数0,https://www.njss.info/organizations/proc/3622/
第1術科学校,海上自衛隊,広島県,入札可能案件25,案件登録数3374,入札結果数1558,https://www.njss.info/organizations/proc/70/
加古郡播磨町役場,市区町村役所,兵庫県,入札可能案件15,案件登録数289,入札結果数234,https://www.njss.info/organizations/proc/5612/
瑞穂市役所,市区町村役所,岐阜県,入札可能案件2,案件登録数1148,入札結果数1084,https://www.njss.info/organizations/proc/4893/
つくば市役所,市区町村役所,茨城県,入札可能案件85,案件登録数6397,入札結果数5600,https://www.njss.info/organizations/proc/1748/
徳島赤十字病院,日本赤十字社,徳島県,入札可能案件0,案件登録数5,入札結果数5,https://www.njss.info/organizations/proc/1270/
明石市役所,市区町村役所,兵庫県,入札可能案件41,案件登録数4144,入札結果数3288,https://www.njss.info/organizations/proc/1768/
宮崎森林管理署都城支署,林野庁,宮崎県,入札可能案件8,案件登録数910,入札結果数554,https://www.njss.info/organizations/proc/1344/
堺市役所,市区町村役所,大阪府,入札可能案件162,案件登録数40289,入札結果数38021,https://www.njss.info/organizations/proc/1708/
郡山市役所,市区町村役所,福島県,入札可能案件38,案件登録数9651,入札結果数8718,https://www.njss.info/organizations/proc/1718/
豊橋市役所,市区町村役所,愛知県,入札可能案件403,案件登録数54488,入札結果数46130,https://www.njss.info/organizations/proc/1728/
倉敷市役所,市区町村役所,岡山県,入札可能案件63,案件登録数12736,入札結果数9912,https://www.njss.info/organizations/proc/1738/
岩手北部森林管理署,林野庁,岩手県,入札可能案件22,案件登録数1082,入札結果数382,https://www.njss.info/organizations/proc/1314/
米代東部森林管理署上小阿仁支署,林野庁,秋田県,入札可能案件12,案件登録数947,入札結果数398,https://www.njss.info/organizations/proc/1324/
田原市役所,市区町村役所,愛知県,入札可能案件31,案件登録数3055,入札結果数2228,https://www.njss.info/organizations/proc/4841/
裾野市役所,市区町村役所,静岡県,入札可能案件25,案件登録数600,入札結果数466,https://www.njss.info/organizations/proc/4861/
京丹後市役所,市区町村役所,京都府,入札可能案件46,案件登録数2219,入札結果数1902,https://www.njss.info/organizations/proc/4871/
奈良県庁くらし創造部景観・環境局,市役所関連団体,奈良県,入札可能案件1,案件登録数68,入札結果数4,https://www.njss.info/organizations/proc/4801/
